continent,Country iso,Country name,disaster subgroup,occurrence,Total deaths,Affected,Injured,Homeless,Total affected,Total damage
Africa,DZA,Algeria,Geophysical,1,6,0,420,0,420,0
Africa,BFA,Burkina Faso,Climatological,1,0,4000000,0,0,4000000,0
Africa,BDI,Burundi,Hydrological,1,96,0,182,12500,12682,0
Africa,CMR,Cameroon,Biological,1,77,1680,0,0,1680,0
Africa,CMR,Cameroon,Hydrological,1,0,2120,0,1380,3500,0
Africa,CPV,Cape Verde Is,Geophysical,1,0,980,0,0,980,0
Africa,COM,Comoros,Geophysical,1,0,10000,0,0,10000,0
Africa,COM,Comoros,Meteorological,1,0,9511,0,0,9511,0
Africa,CIV,Cote d'Ivoire,Hydrological,1,39,0,0,0,0,0
Africa,GMB,Gambia The,Biological,1,0,0,0,0,0,0
Africa,GHA,Ghana,Biological,1,214,26858,0,0,26858,0
Africa,GIN,Guinea,Biological,1,1871,2868,0,0,2868,0
Africa,KEN,Kenya,Climatological,1,0,1600000,0,0,1600000,0
Africa,LSO,Lesotho,Meteorological,1,0,0,0,2600,2600,0
Africa,LBR,Liberia,Biological,1,3613,8464,0,0,8464,0
Africa,MDG,Madagascar,Meteorological,1,17,0,0,1736,1736,0
Africa,MWI,Malawi,Hydrological,1,0,44850,0,0,44850,0
Africa,MLI,Mali,Biological,1,6,7,0,0,7,0
Africa,MAR,Morocco,Hydrological,1,11,0,0,0,0,0
Africa,MAR,Morocco,Meteorological,2,38,117000,0,0,117000,450000
Africa,MOZ,Mozambique,Hydrological,4,22,143760,76,0,143836,0
Africa,NER,Niger,Biological,2,20,5,183,0,188,0
Africa,NER,Niger,Hydrological,1,36,165578,0,0,165578,0
Africa,NGA,Nigeria,Biological,2,186,12244,0,0,12244,0
Africa,NGA,Nigeria,Hydrological,1,15,10000,0,0,10000,0
Africa,SEN,Senegal,Biological,1,0,1,0,0,1,0
Africa,SYC,Seychelles,Hydrological,1,0,4435,0,0,4435,0
Africa,SLE,Sierra Leone,Biological,1,3108,10273,0,0,10273,0
Africa,SOM,Somalia,Climatological,1,0,350000,0,0,350000,0
Africa,SOM,Somalia,Hydrological,1,0,21000,0,0,21000,0
Africa,ZAF,South Africa,Geophysical,1,1,2000,2,0,2002,0
Africa,ZAF,South Africa,Hydrological,1,32,7185,0,0,7185,85000
Africa,SSD,South Sudan,Biological,2,149,5900,586,0,6486,0
Africa,SDN,Sudan,Hydrological,1,77,260000,227,0,260227,0
Africa,SWZ,Swaziland,Hydrological,1,11,400,0,0,400,0
Africa,TZA,Tanzania Uni Rep,Hydrological,2,31,40000,0,0,40000,0
Africa,COD,Zaire/Congo Dem Rep,Biological,1,49,0,17,0,17,0
Africa,COD,Zaire/Congo Dem Rep,Hydrological,2,41,0,0,3750,3750,0
Africa,ZMB,Zambia,Hydrological,1,0,0,0,20000,20000,0
Africa,ZWE,Zimbabwe,Hydrological,2,14,2500,2,0,2502,20000
Americas,ARG,Argentina,Hydrological,3,27,5553,0,0,5553,62000
Americas,BOL,Bolivia,Climatological,1,0,51180,0,0,51180,0
Americas,BOL,Bolivia,Hydrological,1,64,0,0,150000,150000,100000
Americas,BRA,Brazil,Climatological,1,0,0,0,0,0,5000000
Americas,BRA,Brazil,Hydrological,3,45,550600,52,0,550652,0
Americas,CAN,Canada,Meteorological,1,0,0,0,0,0,0
Americas,CHL,Chile,Climatological,1,12,17500,500,0,18000,34000
